time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-01-01T22:20:16.950Z,30.471,141.204,40,4.1,mb,7,142.7,,1.08,us,usp000dccs,2014-11-07T01:24:31.753Z,"Izu Islands, Japan region",earthquake,,,,5,reviewed,us,us
2005-01-16T21:03:22.580Z,38.063,134.644,377.4,3.3,mb,9,84.6,,0.81,us,usp000ddgq,2014-11-07T01:24:40.022Z,"230 km NW of Hakui, Japan",earthquake,,13.5,,2,reviewed,us,us
2005-01-22T13:23:32.680Z,34.055,141.716,10,4.3,mb,10,157.4,,0.88,us,usp000de0n,2014-11-07T01:24:42.961Z,"176 km SE of Katsuura, Japan",earthquake,,,,3,reviewed,us,us
2006-05-31T08:01:26.730Z,33.368,141.839,10,3.9,m,8,136.2,,,us,usp000ejc7,2014-11-07T01:29:13.248Z,"242 km SE of Katsuura, Japan",earthquake,,,,,reviewed,jma,jma
2006-06-30T20:44:50.480Z,40.902,142.989,78.1,3.8,mb,12,134.4,,0.35,us,usp000emnm,2014-11-07T01:29:30.439Z,"133 km ENE of Hachinohe, Japan",earthquake,,16.7,,1,reviewed,us,us
2006-12-20T02:46:35.450Z,41.662,142.151,76.3,4.4,mb,22,123.8,,1.13,us,usp000f0m2,2014-11-07T01:31:10.118Z,"76 km SSW of Shizunai-furukawach?, Japan",earthquake,,10.3,,5,reviewed,us,us
2007-03-11T00:38:16.820Z,29.986,140.384,150.6,4.8,mwr,121,55.9,,0.93,us,usp000f6fg,2014-11-07T01:31:51.212Z,"Izu Islands, Japan region",earthquake,,8.1,,,reviewed,us,nied
2007-04-15T03:19:30.390Z,34.807,136.239,15.7,5.1,mwc,351,104.5,,0.74,us,usp000f9rr,2022-07-14T06:49:47.744Z,"11 km ENE of Ueno-ebisumachi, Japan",earthquake,,,,,reviewed,us,gcmt
2007-12-28T19:53:59.590Z,29.838,142.089,10,4.4,mb,11,127.5,,1.23,us,usp000fvhd,2014-11-07T01:34:30.795Z,"Izu Islands, Japan region",earthquake,,,,1,reviewed,us,us
2008-01-14T17:21:26.960Z,42.168,142.845,58.7,3.8,m,14,90.8,,0.9,us,usp000fwqq,2014-11-07T01:34:42.169Z,"43 km ESE of Shizunai-furukawach?, Japan",earthquake,,9.1,,,reviewed,us,jma
2008-05-31T23:13:20.190Z,32.927,137.224,42,4,m,13,125.4,,,us,usp000g88e,2014-11-07T01:36:08.648Z,"146 km SE of Shing?, Japan",earthquake,,,,,reviewed,jma,jma
2008-12-02T21:29:54.950Z,42.79,145.221,91.6,3.7,mb,13,155.9,,0.53,us,usp000gpuc,2014-11-07T01:37:52.600Z,"65 km SSW of Nemuro, Japan",earthquake,,10,,1,reviewed,us,us
2009-01-05T13:07:27.060Z,33.649,141.216,37.6,4.5,mwr,40,117.3,,1.08,us,usp000gs7k,2014-11-07T01:38:10.349Z,"185 km SSE of Katsuura, Japan",earthquake,,8.6,,,reviewed,us,nied
2009-06-02T10:20:14.430Z,44.917,142.062,251.2,4.3,mb,99,96.8,,0.81,us,usp000gxt2,2014-11-07T01:39:05.806Z,"53 km SSE of Makubetsu, Japan",earthquake,,5.4,,48,reviewed,us,us
2009-12-01T00:57:44.190Z,32.123,129.266,35,4.3,mb,22,126.2,,0.63,us,usp000h4mc,2014-11-07T01:40:11.508Z,"71 km W of Ushibukamachi, Japan",earthquake,,,,4,reviewed,us,us
2010-01-03T11:43:25.930Z,44.021,148.455,27.7,4.3,mb,24,137.6,,1.19,us,usp000h5n1,2014-11-07T01:40:23.917Z,"141 km E of Shikotan, Russia",earthquake,,20.7,,6,reviewed,us,us
2010-06-01T04:49:24.070Z,37.529,141.365,59.2,4.7,mwr,166,67.8,,0.81,us,usp000hdet,2014-11-07T01:41:36.624Z,"32 km E of Namie, Japan",earthquake,,3.9,,,reviewed,us,nied
2010-12-01T21:44:06.680Z,43.033,141.409,35,4.5,mwr,122,73,,1.2,us,usp000hqdj,2022-07-19T01:02:12.272Z,"6 km SE of Sapporo, Japan",earthquake,,,,,reviewed,us,nied